execucao,custo,energia,chegou,vivo,caminho
31,9,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]>[5,4]>[4,5]"
32,"6,5",55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,3]"
33,7,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
34,"13,5",75,true,true,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[1,2]>[1,3]>[1,4]>[1,5]>[2,6]"
35,12,0,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
36,7,65,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]"
37,8,0,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
38,7,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
39,"10,5",45,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]"
40,9,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]"
41,7,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
42,8,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
43,7,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
44,6,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
45,12,40,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
46,7,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
47,6,10,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
48,9,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]"
49,7,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
